boxID,magnification,imageName,specimenNR,formation,colony.id,zooid.id,zh,oh,ow.m,ow.b,o.side,mpw.b,cw.m,cw.b,cw.d,c.side,zh.zw,oh.ow,area,ln.zh,ln.mpw.b,ln.cw.m,ln.cw.d,ln.ow.m,ln.oh,ln.o.side,ln.c.side,ln.area
759_1661_401_593,x30,452_CC_1_10v_x30_BSE,452CC,NKLS,452CC,759_1661_401_593_452_CC_1_10v_x30_BSE.tif,876.0899977,0.11137574,406.6911948,329.1613903,319.6007188,185.1129196,267.4693015,139.4853166,338.8789742,367.7920535,2.585259235,0.000273858,109028.1377,6.775468823,5.220966015,5.589004799,5.825643035,6.008054162,-2.194845749,5.767072463,5.907517706,11.59936127
110_1619_477_644,x30,452_CC_1_10v_x30_BSE,452CC,NKLS,452CC,110_1619_477_644_452_CC_1_10v_x30_BSE.tif,912.720278,0.103205608,402.3459672,348.7903951,300.5384757,185.5537003,343.0200524,123.6853446,394.0060553,459.9237672,2.316513327,0.00025651,132064.4248,6.816429457,5.22334433,5.837788907,5.976366278,5.997312333,-2.271032083,5.705575785,6.131060752,11.79104515
520_1976_539_645,x30,452_CC_2_10v_x30_BSE,452CC,NKLS,452CC,520_1976_539_645_452_CC_2_10v_x30_BSE.tif,848.4993831,0.092922845,487.7626524,410.0186903,318.5217902,188.7041441,363.1263015,193.6396754,468.3707875,379.8417448,1.811597576,0.000190508,145944.1123,6.743469358,5.240180413,5.894750712,6.149260263,6.18982892,-2.375985751,5.763690888,5.939754705,11.89097903
236_628_435_556,x30,452_CC_2_10v_x30_BSE,452CC,NKLS,452CC,236_628_435_556_452_CC_2_10v_x30_BSE.tif,657.0164704,0.103567003,434.3070056,351.9535453,295.9990216,180.140285,384.5026131,229.4263537,414.7465807,229.0416791,1.584139571,0.000238465,100070.0967,6.487709087,5.193735908,5.951950585,6.027667685,6.07375167,-2.267536507,5.690356149,5.433903992,11.51362619
446_949_515_635,x30,452_CC_2_10v_x30_BSE,452CC,NKLS,452CC,446_949_515_635_452_CC_2_10v_x30_BSE.tif,807.981188,0.097784582,445.9843814,380.3442433,310.3483497,190.7993266,389.0541815,210.3555905,428.0166706,350.6277898,1.887732987,0.000219256,127001.0122,6.694538776,5.251222229,5.963718618,6.059162145,6.100283932,-2.324988358,5.737695375,5.859725233,11.75195034
1021_929_452_667,x30,452_CC_2_10v_x30_BSE,452CC,NKLS,452CC,1021_929_452_667_452_CC_2_10v_x30_BSE.tif,780.5297972,0.096710156,431.5015867,371.906341,266.097389,175.0419882,392.9610822,201.5634519,444.3358498,374.9519684,1.756621253,0.000224125,127363.8239,6.659972916,5.165025878,5.97371058,6.096580695,6.067271188,-2.336036856,5.583862366,5.926797934,11.75480303
529_1112_421_693,x30,454_CV_1_15v_x30_BSE,454CV,NKLS,454CV,529_1112_421_693_454_CV_1_15v_x30_BSE.tif,791.0127584,0.090810989,472.235597,434.0059479,314.5156637,184.2355848,531.6630914,326.0234995,548.9496595,342.8466121,1.440956825,0.0001923,159463.487,6.673314097,5.216215291,6.276010002,6.308006742,6.157478007,-2.398974973,5.75103388,5.837283152,11.97957025
846_1508_445_676,x30,454_CV_1_15v_x30_BSE,454CV,NKLS,454CV,846_1508_445_676_454_CV_1_15v_x30_BSE.tif,759.2929091,0.089046016,480.6061346,426.0622537,271.2073154,186.73132,480.243383,293.7479135,523.1673758,328.4480732,1.451338413,0.000185279,145879.8293,6.632387618,5.229670792,6.174293023,6.259901443,6.175048088,-2.418602004,5.60288353,5.794378753,11.89053847
238_1474_451_682,x30,454_CV_1_15v_x30_BSE,454CV,NKLS,454CV,238_1474_451_682_454_CV_1_15v_x30_BSE.tif,874.8800806,0.093178402,465.3845688,414.7465807,316.560266,244.2745912,462.2848276,255.8607332,501.9215004,402.6727721,1.743061574,0.000200218,161261.0846,6.774086826,5.498292966,6.136181211,6.218443734,6.142864094,-2.373239317,5.757513637,5.998124252,11.99077997
794_707_443_646,x30,454_CV_1_15v_x30_BSE,454CV,NKLS,454CV,794_707_443_646_454_CV_1_15v_x30_BSE.tif,778.9897553,0.087934471,479.460266,433.6010725,298.4944258,179.50428,505.478703,306.1534216,545.009311,346.9667718,1.429314582,0.000183403,155912.4932,6.657997895,5.190199052,6.225505907,6.300802879,6.172661025,-2.431163386,5.698751259,5.849229017,11.95705019
