date,imager,File_name,specimen_no,image_no,mag,use,binomial,notes,collector,taxonID,stationID,lat,long,dateCollected,country,depth,place
Jun 10 2024,DPG,Steginoporella magnifica NIWA 98542 KAH0907.15 16,NIWA 98542,16,x60,N,Steginoporella magnifica,,DPG,DPG,KAH0907/15,-35.1868333,174.1173333,Aug 8 2009,New Zealand,34,Site M39 - Inner Bay of Islands
Jun 10 2024,DPG,Steginoporella magnifica NIWA 98542 KAH0907.15 17,NIWA 98542,17,x30,Y,Steginoporella magnifica,,DPG,DPG,KAH0907/15,-35.1868333,174.1173333,Aug 8 2009,New Zealand,34,Site M39 - Inner Bay of Islands
Jun 10 2024,DPG,Steginoporella magnifica NIWA 98542 KAH0907.15 18,NIWA 98542,18,x30,N,Steginoporella magnifica,,DPG,DPG,KAH0907/15,-35.1868333,174.1173333,Aug 8 2009,New Zealand,34,Site M39 - Inner Bay of Islands
Jun 10 2024,DPG,Steginoporella magnifica NIWA 98542 KAH0907.15 19,NIWA 98542,19,x30,Y,Steginoporella magnifica,,DPG,DPG,KAH0907/15,-35.1868333,174.1173333,Aug 8 2009,New Zealand,34,Site M39 - Inner Bay of Islands
Jun 10 2024,DPG,Steginoporella magnifica NIWA 98542 KAH0907.15 20,NIWA 98542,20,x30,Y,Steginoporella magnifica,,DPG,DPG,KAH0907/15,-35.1868333,174.1173333,Aug 8 2009,New Zealand,34,Site M39 - Inner Bay of Islands
Jun 10 2024,DPG,Steginoporella magnifica NIWA 98542 KAH0907.15 21,NIWA 98542,21,x30,Y,Steginoporella magnifica,,DPG,DPG,KAH0907/15,-35.1868333,174.1173333,Aug 8 2009,New Zealand,34,Site M39 - Inner Bay of Islands
Jun 10 2024,DPG,Steginoporella magnifica NIWA 120076 M797 1,NIWA 120076,1,x50,N,Steginoporella magnifica,,DPG,DPG,M797,-44.6183,167.8588,Apr 9 1981,New Zealand,30,
Jun 10 2024,DPG,Steginoporella magnifica NIWA 120076 M797 2,NIWA 120076,2,x50,N,Steginoporella magnifica,,DPG,DPG,M797,-44.6183,167.8588,Apr 9 1981,New Zealand,30,
Jun 10 2024,DPG,Steginoporella magnifica NIWA 120076 M797 3,NIWA 120076,3,x60,N,Steginoporella magnifica,need to rotate,DPG,DPG,M797,-44.6183,167.8588,Apr 9 1981,New Zealand,30,
Jun 10 2024,DPG,Steginoporella magnifica NIWA 120076 M797 4,NIWA 120076,4,x30,Y,Steginoporella magnifica,need to rotate,DPG,DPG,M797,-44.6183,167.8588,Apr 9 1981,New Zealand,30,
Jun 10 2024,DPG,Steginoporella magnifica NIWA 122574 Z8662 1,NIWA 122574,1,x60,N,Steginoporella magnifica,,DPG,DPG,Z8662,-34.35667,172.77,Feb 27 1997,New Zealand,54,
Jun 10 2024,DPG,Steginoporella magnifica NIWA 122574 Z8662 2,NIWA 122574,2,x80,N,Steginoporella magnifica,need to rotate,DPG,DPG,Z8662,-34.35667,172.77,Feb 27 1997,New Zealand,54,
Jun 10 2024,DPG,Steginoporella magnifica NIWA 122574 Z8662 3,NIWA 122574,3,x60,N,Steginoporella magnifica,,DPG,DPG,Z8662,-34.35667,172.77,Feb 27 1997,New Zealand,54,
Jun 10 2024,DPG,Steginoporella magnifica NIWA 122574 Z8662 4,NIWA 122574,4,x60,N,Steginoporella magnifica,,DPG,DPG,Z8662,-34.35667,172.77,Feb 27 1997,New Zealand,54,
Jun 10 2024,DPG,Steginoporella magnifica NIWA 122574 Z8662 5,NIWA 122574,5,x60,N,Steginoporella magnifica,need to rotate,DPG,DPG,Z8662,-34.35667,172.77,Feb 27 1997,New Zealand,54,
Jun 10 2024,DPG,Steginoporella magnifica NIWA 122574 Z8662 6,NIWA 122574,6,x50,Y,Steginoporella magnifica,,DPG,DPG,Z8662,-34.35667,172.77,Feb 27 1997,New Zealand,54,
Jun 10 2024,DPG,Steginoporella magnifica NIWA 122574 Z8662 7,NIWA 122574,7,x60,N,Steginoporella magnifica,,DPG,DPG,Z8662,-34.35667,172.77,Feb 27 1997,New Zealand,54,
Jun 10 2024,DPG,Steginoporella magnifica NIWA 122669 B224 A1,NIWA 122669 A,1,x50,Y,Steginoporella magnifica,,DPG,DPG,B224,-46.75,168.28,May 21 1960,New Zealand,32,Foveaux Strait
Jun 10 2024,DPG,Steginoporella magnifica NIWA 122669 B224 A2,NIWA 122669 A,2,x50,Y,Steginoporella magnifica,,DPG,DPG,B224,-46.75,168.28,May 21 1960,New Zealand,32,Foveaux Strait
Jun 10 2024,DPG,Steginoporella magnifica NIWA 122669 B224 A3,NIWA 122669 A,3,x60,Y,Steginoporella magnifica,,DPG,DPG,B224,-46.75,168.28,May 21 1960,New Zealand,32,Foveaux Strait
Jun 10 2024,DPG,Steginoporella magnifica NIWA 122669 B224 B1,NIWA 122669 B,1,x50,N,Steginoporella magnifica,,DPG,DPG,B224,-46.75,168.28,May 21 1960,New Zealand,32,Foveaux Strait
Jun 10 2024,DPG,Steginoporella magnifica NIWA 122669 B224 B2,NIWA 122669 B,2,x50,N,Steginoporella magnifica,,DPG,DPG,B224,-46.75,168.28,May 21 1960,New Zealand,32,Foveaux Strait
Jun 10 2024,DPG,Steginoporella magnifica NIWA 122669 B224 B3,NIWA 122669 B,3,x50,N,Steginoporella magnifica,,DPG,DPG,B224,-46.75,168.28,May 21 1960,New Zealand,32,Foveaux Strait
Jun 10 2024,DPG,Steginoporella magnifica NIWA 122669 B224 B4,NIWA 122669 B,4,x60,N,Steginoporella magnifica,need to rotate,DPG,DPG,B224,-46.75,168.28,May 21 1960,New Zealand,32,Foveaux Strait
Jun 10 2024,DPG,Steginoporella magnifica NIWA 122669 B224 B5,NIWA 122669 B,5,x50,N,Steginoporella magnifica,,DPG,DPG,B224,-46.75,168.28,May 21 1960,New Zealand,32,Foveaux Strait
Jun 10 2024,DPG,Steginoporella magnifica NIWA 122669 B224 B6,NIWA 122669 B,6,x30,Y,Steginoporella magnifica,,DPG,DPG,B224,-46.75,168.28,May 21 1960,New Zealand,32,Foveaux Strait
Jun 10 2024,DPG,Steginoporella magnifica NIWA 122669 B224 B7,NIWA 122669 B,7,x30,Y,Steginoporella magnifica,,DPG,DPG,B224,-46.75,168.28,May 21 1960,New Zealand,32,Foveaux Strait
Jun 10 2024,DPG,Steginoporella magnifica NIWA 122669 B224 B8,NIWA 122669 B,8,x30,Y,Steginoporella magnifica,,DPG,DPG,B224,-46.75,168.28,May 21 1960,New Zealand,32,Foveaux Strait
Jun 10 2024,DPG,Steginoporella magnifica NIWA 122669 B224 C1,NIWA 122669 C,1,x30,Y,Steginoporella magnifica,,DPG,DPG,B224,-46.75,168.28,May 21 1960,New Zealand,32,Foveaux Strait
Jun 10 2024,DPG,Steginoporella magnifica NIWA 122669 B224 C2,NIWA 122669 C,2,x60,N,Steginoporella magnifica,,DPG,DPG,B224,-46.75,168.28,May 21 1960,New Zealand,32,Foveaux Strait
Jun 10 2024,DPG,Steginoporella magnifica NIWA 122669 B224 C3,NIWA 122669 C,3,x60,N,Steginoporella magnifica,need to rotate,DPG,DPG,B224,-46.75,168.28,May 21 1960,New Zealand,32,Foveaux Strait
