"boxID","magnification","imageName","specimenNR","formation","zh","oh","ow.m","ow.b","mpw.b","cw.m","cw.b","cw.d","zh.zw","oh.ow"
"446_491_200_288","x30","077_CV_2_15v_x30_BSE","077CV","NKBS",406.3328218608,0.138261301621974,253.980714022851,224.14319648855,98.4168155197917,203.245138451514,98.8585201369648,254.895750688444,1.59411375342014,0.000544377167195201
"278_611_194_306","x30","077_CV_2_15v_x30_BSE","077CV","NKBS",392.215447876777,0.141557147258444,221.177521258348,184.235584811172,79.3624729796109,207.750467194953,108.785806758083,243.028469477893,1.61386626315587,0.000640015976547167
"195_425_201_316","x30","077_CV_2_15v_x30_BSE","077CV","NKBS",367.812861258709,0.144567881749376,221.472802054582,184.494057549488,79.6535867072421,242.804273425118,139.407206339888,253.530012721759,1.4507665475581,0.000652756818933223
"589_360_187_277","x30","077_CV_2_15v_x30_BSE","077CV","NKBS",366.236272043202,0.156150638964007,198.363288451672,156.895898666729,70.8803022934473,159.178923958504,73.797623019795,197.386225139349,1.85542973824364,0.000787195252623828
"374_272_221_281","x30","077_CV_2_15v_x30_BSE","077CV","NKBS",353.805538990136,0.137779749237006,231.217504251385,192.171617615152,89.4900783033416,247.909491969651,151.28512719058,262.4800010691,1.34793331891596,0.00059588805649943
"54_586_182_272","x30","077_CV_2_15v_x30_BSE","077CV","NKBS",346.927327419614,0.13890633803845,222.79672277561,186.731319998783,69.3265727313532,206.804589407389,124.857639854963,240.92974359302,1.43995225432044,0.000623466702328245
"131_259_191_259","x30","077_CV_2_15v_x30_BSE","077CV","NKBS",382.243905274525,0.138505048114169,227.854269203856,187.306450477396,90.458548341028,208.920275703061,124.234522935437,235.280201676836,1.62463268286189,0.000607866811528786
"380_946_208_272","x30","077_CV_2_15v_x30_BSE","077CV","NKBS",351.589720882469,0.144029723995525,214.140306237734,177.267973623707,68.6754192959895,235.488434760676,145.598427424285,226.559904583267,1.55186206283579,0.000672595115445602
"565_818_215_279","x30","077_CV_2_15v_x30_BSE","077CV","NKBS",366.618985531322,0.147208680268552,214.933597486063,176.390213419971,76.1404092083124,215.420810882076,127.874480304022,226.601967504368,1.61789850974817,0.000684903067693253
"143_747_182_262","x30","077_CV_2_15v_x30_BSE","077CV","NKBS",325.086696459928,0.140891105579005,226.83617527973,179.708955644383,66.7450442777448,186.497851038219,99.3530905840948,226.168946734448,1.43736220711866,0.000621113918030318
"589_986_235_262","x30","077_CV_2_15v_x30_BSE","077CV","NKBS",357.328365002348,0.141677317348454,225.203697425019,183.198047121902,91.01374411312,232.439083514864,136.525602586621,239.433200659877,1.49239271754106,0.000629107421274131
"167_898_203_290","x30","077_CV_2_15v_x30_BSE","077CV","NKBS",377.209820294797,0.146406796130831,220.22130687067,173.196590935999,78.7251514315285,194.530590272298,107.754638398116,225.082750210375,1.67587174024769,0.000664816671062675
"547_663_185_272","x30","077_CV_2_15v_x30_BSE","077CV","NKBS",325.14951312274,0.157821883072418,185.083496934785,149.765544166029,75.1504787903347,158.218042079399,98.7482792104104,188.502012579227,1.72491268752942,0.000852706403791513
"369_49_251_308","x30","077_CV_2_15v_x30_BSE","077CV","NKBS",395.75416006004,0.140869994774643,224.822493370333,186.147098559051,79.4824724672759,226.559904583267,115.240133742035,257.26173162341,1.53833280046237,0.000626583188642953
"367_776_199_256","x30","077_CV_2_15v_x30_BSE","077CV","NKBS",334.597153202824,0.137883193716478,221.294450353006,188.126049307829,83.2475132384781,212.070281536863,116.894130352639,236.98116265368,1.41191455665106,0.000623075696189077
"591_181_241_301","x30","077_CV_2_15v_x30_BSE","077CV","NKBS",443.698043856568,0.149144115603966,213.643799999483,167.188673752158,87.7074737024311,197.227512911822,107.095582439524,207.264930272047,2.14072898523734,0.000698097092470396
"165_102_228_281","x30","077_CV_2_15v_x30_BSE","077CV","NKBS",426.12935586477,0.163506257337234,209.180791142759,156.765676567657,65.7171872994715,169.389258092785,82.5082508250825,202.916626030674,2.10002188682338,0.000781650439526478
"452_660_204_333","x30","077_CV_3_15v_x30_BSE","077CV","NKBS",439.737241810014,0.145949745850921,216.574335782289,179.504279991005,85.9512649709929,226.072607260726,124.857639854963,237.90435395415,1.84837828522786,0.000673901389671751
"572_503_204_299","x30","077_CV_3_15v_x30_BSE","077CV","NKBS",412.55445523433,0.138666244229415,229.426353682371,184.847946731887,74.3307302280872,185.083496934785,89.0018914862165,224.428508945374,1.83824442435139,0.00060440416719254
"181_643_219_294","x30","077_CV_3_15v_x30_BSE","077CV","NKBS",388.073064814759,0.137092984478871,240.974948292248,196.619083321519,82.9197658508324,212.928843243629,118.914971776874,242.574257425743,1.59981141005268,0.000568909695594614
"639_834_192_274","x30","077_CV_3_15v_x30_BSE","077CV","NKBS",388.577948492298,0.142873948945191,218.769814114542,185.443603346438,78.0477464711912,190.713676692518,92.8941778550335,225.710968007231,1.7215731779585,0.000653078897211961
