"boxID","magnification","imageName","specimenNR","formation","zh","oh","ow.m","ow.b","mpw.b","cw.m","cw.b","cw.d","zh.zw","oh.ow"
"272_1464_399_596","x30","034i_CV_1_15v_x30.BSE","034iCV","NKBS",791.915893504588,0.0974399110597692,442.81033664317,382.272399574143,158.97350962543,401.777059881374,275.908380310586,466.672968527291,1.69693971348648,0.000220048862902424
"817_1384_367_605","x30","034i_CV_1_15v_x30.BSE","034iCV","NKBS",850.76369517923,0.111903942371723,398.014876083996,317.106591404998,123.773376848839,317.106591404998,169.614168056538,375.034263412344,2.26849591671529,0.000281155175587224
"525_207_361_630","x30","034i_CV_1_15v_x30.BSE","034iCV","NKBS",814.111883590959,0.112731352159294,394.455025823644,307.909472411223,147.309002682982,326.223892965319,185.326094516677,368.297460957199,2.21047378788628,0.000285790127591617
"1390_739_428_418","x30","034i_CV_1_15v_x30.BSE","034iCV","NKBS",594.068573453283,0.0988359867363989,396.125540731281,333.480345321957,138.770930967846,343.904049578314,231.117378217975,386.565023649549,1.5367882170112,0.000249506725958491
"476_502_398_705","x30","034i_CV_1_15v_x30.BSE","034iCV","NKBS",990.450982542716,0.119734490197136,390.977689494044,311.352512609129,125.607803524654,328.154721171813,188.927680282003,360.64695263405,2.74631734805682,0.000306243791946498
"944_1939_432_575","x30","034i_CV_1_15v_x30.BSE","034iCV","NKBS",823.372816092096,0.111679356340011,408.844825877482,314.502577708289,153.500829852245,328.648084328162,158.767829526848,388.514873913487,2.11928261020823,0.000273158296916976
"25_121_383_575","x30","034i_CV_1_15v_x30.BSE","034iCV","NKBS",811.83423084576,0.118249296295279,361.401208299812,295.227388584803,131.029752680563,228.015548149964,91.71414674317,324.210184753128,2.50403679163854,0.0003271967375305
"44_1983_532_641","x30","034i_CV_1_15v_x30.BSE","034iCV","NKBS",785.620671059361,0.102693212022414,419.180892654982,351.02388426044,157.528109469083,405.954009813464,206.870415105146,439.854882351876,1.78609060074245,0.000244985431878781
"933_15_405_552","x30","034i_CV_1_15v_x30.BSE","034iCV","NKBS",770.44329651104,0.100818390462065,420.711180989504,352.62987794951,145.33635753017,391.97932409966,250.140197485287,427.293972812675,1.8030755066344,0.000239638010629863
"985_1622_392_532","x30","034i_CV_1_15v_x30.BSE","034iCV","NKBS",709.260043941211,0.121556230364172,364.073675377284,276.406334638628,117.057081524543,338.058364855501,185.993436351226,336.152020678471,2.10993836214246,0.000333878109254137
"863_754_438_589","x30","034i_CV_2_15v_x30.BSE","034iCV","NKBS",710.272889438009,0.0979727293126975,417.700413553015,358.94028937678,160.609468345769,400.443066273245,271.415778959788,443.943462265951,1.59991744402018,0.000234552627035555
"11_1056_431_570","x30","034i_CV_2_15v_x30.BSE","034iCV","NKBS",772.728423103539,0.101356267731733,420.711180989504,374.765517936476,184.884771233066,407.924663807232,247.574252476237,466.891730380503,1.65504842519654,0.000240916505934892
"540_1090_411_616","x30","034i_CV_2_15v_x30.BSE","034iCV","NKBS",795.463411213926,0.0912926349242089,470.299924720405,413.016228222489,188.704144084613,444.58397857576,278.482153263749,500.068071480816,1.59071025842217,0.000194115776179388
"1100_1123_404_571","x30","034i_CV_2_15v_x30.BSE","034iCV","NKBS",757.427540137502,0.095727500775671,433.148671564577,381.598653103276,161.091945371165,401.465173764059,227.249951576833,449.938606284722,1.68340197875397,0.000221003796294454
"1200_440_419_496","x30","034i_CV_2_15v_x30.BSE","034iCV","NKBS",642.168665145765,0.0928590573561394,437.446265195389,380.258320529745,169.32494323215,482.221023077228,328.631512722447,472.814753389387,1.35818237595667,0.0002122753461266
"840_1456_384_534","x30","034i_CV_2_15v_x30.BSE","034iCV","NKBS",717.556189247976,0.103279838765041,417.81774147025,344.900279140142,166.699339999007,396.09460564165,232.016956999587,434.147094721517,1.65279509634459,0.000247188734498473
"261_732_473_659","x30","034i_CV_2_15v_x30.BSE","034iCV","NKBS",846.999338489589,0.102769812059124,417.504793753867,361.627178231207,140.419250161748,409.270865507483,206.534484704394,473.608859004149,1.78839420417634,0.000246152412131849
"1154_1782_310_544","x30","034i_CV_2_15v_x30.BSE","034iCV","NKBS",825.890693292096,0.121471308574431,373.068699650787,287.360969756898,132.054449001601,291.943993613105,172.258575422622,328.532065534376,2.51388153527339,0.000325600375180589
"256_1443_424_674","x30","034i_CV_2_15v_x30.BSE","034iCV","NKBS",815.223272270143,0.103393459214262,437.321750145276,363.339957016447,168.389617343514,435.896641161981,282.255407966586,468.998264575511,1.73822236422985,0.000236424232684324
"1096_54_436_570","x30","034i_CV_2_15v_x30.BSE","034iCV","NKBS",762.054709104707,0.099101941546483,420.2740615254,359.236034962054,154.491053975552,388.546412482791,264.27896336194,441.98862127291,1.72415006275505,0.000235803135665306
"63_1812_381_600","x30","034i_CV_2_15v_x30.BSE","034iCV","NKBS",775.09288978152,0.106322776132427,414.43788441022,349.063536984482,160.48225962263,394.568913966531,261.247754814037,424.961547269172,1.82391299815787,0.000256546952225985
"62_215_327_659","x30","034i_CV_2_15v_x30.BSE","034iCV","NKBS",853.397001697121,0.133928301318931,340.754081424813,259.23877078093,116.462376162336,242.84912919373,122.156802134137,290.166397892188,2.94106074271978,0.000393035061411238
"933_2052_355_597","x30","034i_CV_2_15v_x30.BSE","034iCV","NKBS",759.801991666459,0.115280518564883,366.48898208767,304.637624709156,134.029568026543,303.993361718104,191.283951350115,344.53295837242,2.20531003842355,0.000314553845270322
"617_1793_381_580","x30","034i_CV_2_15v_x30.BSE","034iCV","NKBS",818.98905023538,0.113613213345761,392.753140615505,315.70378169871,160.06600660066,359.921380143696,213.790325561279,394.444670725549,2.0763090770853,0.000289273850662814
"588_455_393_641","x30","034i_CV_2_15v_x30.BSE","034iCV","NKBS",783.287984637818,0.101247793127745,423.436973445999,353.797842462241,157.700875598512,378.765895753724,209.317431952826,427.851226483966,1.8307484848759,0.000239109476680259
"403_2082_428_588","x30","034i_CV_2_15v_x30.BSE","034iCV","NKBS",764.113717398088,0.113007511175057,374.678315844718,314.156056472931,145.364459046503,373.870732295402,220.159473005385,386.565023649549,1.97667577419217,0.000301612093350744
"643_112_435_671","x30","034i_CV_2_15v_x30.BSE","034iCV","NKBS",702.640961606383,0.121070381535508,356.408903776358,275.18202479832,145.33635753017,336.961110400824,190.027088063088,354.616584252395,1.98141032542991,0.000339695165448161
"1053_1147_387_640","x30","035_CC_1_15v_x30_BSE","035CC","NKBS",724.790722598667,0.0975422662224846,454.038338800934,376.414902360231,148.597336829739,433.864755243823,260.22427376662,460.407868591902,1.57423617631763,0.000214832664748274
"968_744_436_638","x30","035_CC_1_15v_x30_BSE","035CC","NKBS",767.759557122517,0.094024602000297,485.69825838746,401.298961574664,185.414233120827,524.825118993643,326.215545693771,515.298211033122,1.48993251030939,0.000193586450798615
"823_342_445_583","x30","035_CC_1_15v_x30_BSE","035CC","NKBS",801.621903149574,0.103238143280366,434.999273541178,363.253760254915,158.707789287717,416.188497968216,221.103639443151,475.671336514451,1.68524323753366,0.000237329461357349
"533_1367_409_652","x30","035_CC_1_15v_x30_BSE","035CC","NKBS",823.994331923553,0.095190063232894,471.496934930479,384.343235230303,201.468862444324,441.569481816416,225.837607618786,477.151713268178,1.72690217599708,0.000201889039314602
