"boxID","image","colony.id","zooid.id","formation","zh","oh","ow.m","ow.b","mpw.b","cw.m","cw.d","o.side","c.side","ln.zh","ln.mpw.b","ln.cw.m","ln.cw.d","ln.ow.m","ln.oh","ln.o.side","ln.c.side"
"293_652_400_665","404_CV_1_10v_x30_BSE","404CV","293_652_400_665_404_CV_1_10v_x30_BSE","NKLS",1004.01794945511,0.060856434338323,391.144806717438,299.135367348597,150.310015947866,234.346672951508,325.082508250825,303.100265367703,348.527038917213,6.9117651780352,5.01269993424497,5.4568015273467,5.78407902165081,5.96907784108382,-2.79923772416388,5.71406365957542,5.85371581375392
"307_1854_404_614","404_CV_1_10v_x30_BSE","404CV","307_1854_404_614_404_CV_1_10v_x30_BSE","NKLS",747.599425087412,0.0510689937708344,429.78483704533,354.84303777467,200.751238623704,360.571440289706,405.228923516061,303.100265367703,348.527038917213,6.61686730657016,5.30206652278893,5.88769010710497,6.00445215066628,6.06328470449193,-2.97457774145708,5.71406365957542,5.85371581375392
"873_1772_393_555","404_CV_1_10v_x30_BSE","404CV","873_1772_393_555_404_CV_1_10v_x30_BSE","NKLS",736.101233585957,0.0609808555150198,376.823410573962,282.462751957487,165.683470593706,294.825891149328,334.950981204773,303.100265367703,348.527038917213,6.60136765490344,5.11007916443979,5.68638498260974,5.81398419635668,5.93177667074558,-2.79719530808423,5.71406365957542,5.85371581375392
"405_1016_608_761","713i_CV_2_15V_x30_BSE","713iCV","405_1016_608_761_713i_CV_2_15V_x30_BSE","SHCSBSB",1025.47632582276,0.0394390751008466,635.795539581138,519.53998321555,267.652492712084,671.819854105142,694.844888846293,303.100265367703,348.527038917213,6.9329124917489,5.58968947012344,6.50999023033653,6.54368863913997,6.45487703300878,-3.23299820031257,5.71406365957542,5.85371581375392
"720_574_561_884","713i_CV_2_15V_x30_BSE","713iCV","720_574_561_884_713i_CV_2_15V_x30_BSE","SHCSBSB",1151.90737902536,0.0400793745872097,581.556173670739,508.090069300857,254.216476761738,618.866884244197,652.17227132178,303.100265367703,348.527038917213,7.04917443787197,5.53818617475758,6.42789019987182,6.48030874684543,6.36570756861854,-3.21689342643881,5.71406365957542,5.85371581375392
"694_833_392_643","357_CC_1_15v_x30_BSE","357CC","694_833_392_643_357_CC_1_15v_x30_BSE","NKBS",720.132088827577,0.0514647261615022,388.598971076832,333.664019220274,171.617161716172,285.674020717891,345.826716763821,303.100265367703,348.527038917213,6.57943465188895,5.1452661920542,5.65485137306818,5.84593783100453,5.96254788917049,-2.96685863488628,5.71406365957542,5.85371581375392
"916_1190_335_607","357_CC_1_15v_x30_BSE","357CC","916_1190_335_607_357_CC_1_15v_x30_BSE","NKBS",797.712708466898,0.0547924966617539,391.284016547174,320.849965576802,155.431179396919,270.948854808895,340.718118987577,303.100265367703,348.527038917213,6.68174851817654,5.04620305742792,5.60193007542594,5.83105550490113,5.96943368132658,-2.90420201663364,5.71406365957542,5.85371581375392
"613_1440_365_486","357_CC_1_15v_x30_BSE","357CC","613_1440_365_486_357_CC_1_15v_x30_BSE","NKBS",673.366410233138,0.0477501090675312,439.319053554647,366.830606810789,173.769506433997,384.520317663944,444.412447518831,303.100265367703,348.527038917213,6.51228962462921,5.15772974538943,5.95199662932841,6.09675306709155,6.08522592257622,-3.04177392792123,5.71406365957542,5.85371581375392
"842_1774_337_530","357_CC_1_15v_x30_BSE","357CC","842_1774_337_530_357_CC_1_15v_x30_BSE","NKBS",664.418406163745,0.0506645406355465,396.084293408195,338.766459223979,146.604880148127,336.896454729416,403.980483333268,303.100265367703,348.527038917213,6.49891208079271,4.98774107776702,5.81977562714377,6.00136656821323,5.98162705074446,-2.98252900882489,5.71406365957542,5.85371581375392
"123_782_401_620","428_CC_1_10v_x30_BSE","428CC","123_782_401_620_428_CC_1_10v_x30_BSE","NKLS",734.369783830252,0.048714613518576,424.301036380517,349.184431546066,188.14775991735,385.234901977847,438.832214880387,303.100265367703,348.527038917213,6.59901269443785,5.23722761113466,5.95385328323849,6.08411714156859,6.05044319477074,-3.02177622165625,5.71406365957542,5.85371581375392
"1031_1755_414_571","428_CC_1_10v_x30_BSE","428CC","1031_1755_414_571_428_CC_1_10v_x30_BSE","NKLS",712.789156129311,0.0455087358535456,439.083453830753,369.872626432261,200.105898398051,398.356807450716,450.890794393353,303.100265367703,348.527038917213,6.56918566297875,5.29884671840687,5.98734810479977,6.11122516914711,6.08468949485075,-3.08985097467303,5.71406365957542,5.85371581375392
