"boxID","magnification","imageName","specimenNR","formation","zh","oh","ow.m","ow.b","o.side","mpw.b","cw.m","cw.b","cw.d","c.side","zh.zw","oh.ow"
"864_882_343_561","x30","279_CC_1_10v_x30_BSE","279CC","NKBS",704.622394321092,0.117707526568448,379.627626083411,282.255407966586,251.339970440592,130.36303630363,265.804655182,137.053133946179,316.870356550599,305.284642339076,2.2236930017421,0.000310060486858735
"869_535_386_537","x30","279_CC_1_10v_x30_BSE","279CC","NKBS",666.184513421895,0.10529580486949,413.530167859461,320.527298404406,245.731369505873,143.952663284253,276.962390706918,146.595592835068,351.883905881501,295.783730459328,1.8931940400998,0.000254626658593079
"372_729_401_587","x30","279_CC_1_10v_x30_BSE","279CC","NKBS",740.284331320089,0.098581322631979,465.639025181693,393.508136106676,317.426564515316,184.206021976449,458.095438405168,298.748237165237,480.685450050023,304.771028443913,1.54005978596409,0.000211711899777972
"168_1462_425_623","x30","279_CC_1_10v_x30_BSE","279CC","NKBS",782.910701295971,0.0921400639327372,503.665398086723,430.111008631486,320.378381830941,176.698696015592,443.013222353948,289.701496461687,517.133914303432,326.916846672171,1.51394190100747,0.000182939039057974
"11_1869_442_531","x30","279_CC_1_10v_x30_BSE","279CC","NKBS",900.308316860136,0.0896174633185913,599.84576508485,481.101641488886,373.394173870771,234.677601540064,565.766000686322,328.32064024459,578.339875901395,400.255299268418,1.55671146738226,0.000149400843575039
"588_1150_443_586","x30","279_CC_2_10v_x30_BSE","279CC","NKBS",758.27371875644,0.0913233652214102,504.77789927602,426.094208408569,315.602342601727,176.034790139863,443.971063347506,276.169795032766,527.683967720694,340.793828350665,1.43698456868373,0.000180917915289855
"919_835_390_565","x30","279_CC_2_10v_x30_BSE","279CC","NKBS",827.718561319106,0.100182066225056,468.882128462553,387.876543681292,340.578470208099,188.104336192514,382.528752757299,218.127847776935,478.277492763901,369.671664707905,1.73062411224043,0.00021366151564264
"390_790_411_617","x30","279_CC_2_10v_x30_BSE","279CC","NKBS",735.351747826293,0.101127682005913,446.807889883023,372.937293729373,322.397832126447,151.689573521867,436.997844975958,277.350475730698,466.343173549634,305.171244120102,1.57684681482322,0.000226333697984583
"329_1333_411_631","x30","279_CC_3_10v_x30_BSE","279CC","NKBS",763.404218859455,0.101853606367857,455.218291225535,373.571994147583,337.604874861095,178.835563051371,473.988178346248,322.306419028128,478.946004849419,333.198684235202,1.59392543445366,0.000223746734986522
"44_726_392_560","x30","279_CC_3_10v_x30_BSE","279CC","NKBS",885.302381519299,0.123124708153376,401.563511836266,298.059271752285,345.376793771026,131.392932260029,330.996942130211,175.585622286814,372.721833843778,406.578140624593,2.37523617113979,0.000306613286626447
