Expedition,SAMPLE_ID,Formation_name,GPS number,GPS lat,GPS long,Date ,Time,Collectors,Code,Total,Encrusted,Rate,Physical Description,Photo ID,Unpacked,Unpacked by,unpacking notes,Small,Large,Too large,NOTE,,,,
WABO I,80,Upper Castlecliff Shellbed,52,39S 55.332,174E 57.713,16/01/2014,,"SR, LLH, KV",,50,4,0.080,20  South of Sample 79 Paul found few interactions if at all,,,,,,,,,,,,
WABO I,81,Shakespeare Cliff Basal Sand Shellbed,15,39S 55.078,174E 57.377,16/01/2014,,"SR, LLH, KV",,50,18,0.360,Basal Sand. ,,27/2/2014,LHL,,,,,,,,,
WABO I,82,Lower Castlecliff Shellbed,53,39S 54.285,174E 56.253,16/01/2014,,"SR, LLH, KV",,50,29,0.580,"Exposure about 1m by 5 m, very difficult access. About 20 m from beach level. Good interactions washdown from this spot. Close to SR # 39. AKA Pauls's favorite spot ever.",,,,,,,,,,,,
WABO I,83,Lower Castlecliff Shellbed,54,39S 54.279,174E 56.266,16/01/2014,,"SR, LLH, KV",,50,17,0.340,5-10 m laterally from sample 82. ,,,,,,,,,,,,
WABO I,84,Lower Castlecliff Shellbed,55,39S 54.295,174E 56.282,16/01/2014,,"SR, LLH, KV",,50,22,0.440,"""Windy City""About 20 m south of Sample 83 laterally and about 5-10 m higher on terrain.",,,,,,,,,,,,
WABO I,85,Lower Castlecliff Shellbed,56,39S 54.221,174E 56.139,16/01/2014,,"SR, LLH, KV",,50,21,0.420,"""Marijuana Hill"".",,,,,,,,,,,,
WABO I,86,Nukumaru Brown Sand,57,39S 49.739,175E 08.297,17/01/2014,,"SR, LLH, KV",,30,20,0.667,"Road Side Sample. Up River Road, at first view point. Sandy but somewhat harder than at beach. Preservation good but Paul not seeing much interactions. ",,14/2/2014,LHL,changed from 19 encrusted to actually 20,14,6,0,,,,,
WABO I,87,Nukumaru Brown Sand,58,39S 49.704,175E 08.773,17/01/2014,,"SR, LLH, KV",,30,17,0.567,"Up river Road, about 8 m from road level. Likely SR # 23",,,KV,,14,3,0,,,,,
WABO I,88,Nukumaru Limestone,59,39S 51.954,174E 45.786,17/01/2014,,"SR, LLH, KV",,30,15,0.500,Wainui Beach (like first day),,,,,,,,,,,,
WABO I,89,Nukumaru Limestone,60,39S 51.949,174E 45.794,17/01/2014,,"SR, LLH, KV",,30,24,0.800,,,,,,,,,,,,,
WABO I,90,Nukumaru Limestone,61,39S 51.944,174E 45.820,17/01/2014,,"SR, LLH, KV",,30,16,0.533,,,,,,,,,,,,,
