"dateImaged","Enterer","collectionType","boxNumber","possibleSpeicesID","surface","formation","specimenNR","pictureNumber","fileName","SignalName","Magnification","Comment","Vacc","Mag"
"02/28/2018","Mali",NA,NA,NA,NA,"NKBS","0000084_CV",1,"0000084_CV_1_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"NKBS","0000084_CV",1,"0000084_CV_1_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"02/28/2018","Mali",NA,NA,NA,NA,"NKBS","0000084_CV",2,"0000084_CV_2_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"NKBS","0000084_CV",2,"0000084_CV_2_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"NKBS","0000085_CV",1,"0000085_CV_1_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"NKBS","0000085_CV",2,"0000085_CV_2_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"NKBS","0000085_CV",3,"0000085_CV_3_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"02/26/2018","Mali",NA,NA,NA,NA,"NKBS","0000086_OT",1,"0000086_OT_1_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"02/26/2018","Mali",NA,NA,NA,NA,"NKBS","0000086_OT",2,"0000086_OT_2_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"02/26/2018","Mali",NA,NA,NA,NA,"NKBS","0000087_CV",1,"0000087_CV_1_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"02/26/2018","Mali",NA,NA,NA,NA,"NKBS","0000087_CV",2,"0000087_CV_2_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"02/26/2018","Mali",NA,NA,NA,NA,"NKBS","0000088_CC",1,"0000088_CC_1_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"02/26/2018","Mali",NA,NA,NA,NA,"NKBS","0000088_CC",2,"0000088_CC_2_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"02/26/2018","Mali",NA,NA,NA,NA,"NKBS","0000089_CV",1,"0000089_CV_1_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"02/26/2018","Mali",NA,NA,NA,NA,"NKBS","0000089_CV",2,"0000089_CV_2_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"10/24/2018","Mali",NA,NA,NA,NA,"NKBS","000008i_CV",1,"000008i_CV_1_15v_x30_BSE","BSE",30,"MHR.1310.BLEED.218","15.0kV","x30"
"10/24/2018","Mali",NA,NA,NA,NA,"NKBS","000008i_CV",2,"000008i_CV_2_15v_x30_BSE","BSE",30,"MHR.1310.BLEED.218","15.0kV","x30"
"02/28/2018","Mali",NA,NA,NA,NA,"NKBS","0000090_CC",1,"0000090_CC_1_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"02/28/2018","Mali",NA,NA,NA,NA,"NKBS","0000090_CC",2,"0000090_CC_2_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"NKBS","0000091_CV",1,"0000091_CV_1_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"NKBS","0000091_CV",2,"0000091_CV_2_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"NKBS","0000091_CV",3,"0000091_CV_3_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"02/28/2018","Mali",NA,NA,NA,NA,"NKBS","0000093_CV",1,"0000093_CV_1_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"02/28/2018","Mali",NA,NA,NA,NA,"NKBS","0000093_CV",2,"0000093_CV_2_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"02/28/2018","Mali",NA,NA,NA,NA,"NKBS","0000094_CC",1,"0000094_CC_1_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"02/28/2018","Mali",NA,NA,NA,NA,"NKBS","0000094_CC",2,"0000094_CC_2_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"02/28/2018","Mali",NA,NA,NA,NA,"NKBS","0000095_CC",1,"0000095_CC_1_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"02/28/2018","Mali",NA,NA,NA,NA,"NKBS","0000095_CC",2,"0000095_CC_2_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"NKBS","0000096_CV",1,"0000096_CV_1_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"NKBS","0000096_CV",2,"0000096_CV_2_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"NKBS","0000096_CV",3,"0000096_CV_3_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"NKBS","0000096_CV",4,"0000096_CV_4_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"NKBS","0000097_CV",1,"0000097_CV_1_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"NKBS","0000097_CV",2,"0000097_CV_2_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"NKBS","0000097_CV",3,"0000097_CV_3_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10/24/2018","Mali",NA,NA,NA,NA,"NKBS","000009i_CV",1,"000009i_CV_1_15v_x30_BSE","BSE",30,"MHR.1310.BLEED.218","15.0kV","x30"
"10/24/2018","Mali",NA,NA,NA,NA,"NKBS","000009i_CV",2,"000009i_CV_2_15v_x30_BSE","BSE",30,"MHR.1310.BLEED.218","15.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"Upper Kai-Iwi","0000100_CV",1,"0000100_CV_1_15v_x30_Mix","Mix",30,NA,"15.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"Upper Kai-Iwi","0000100_CV",2,"0000100_CV_2_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"Upper Kai-Iwi","0000102_CV",1,"0000102_CV_1_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"Upper Kai-Iwi","0000102_CV",2,"0000102_CV_2_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"Upper Kai-Iwi","0000102_CV",3,"0000102_CV_3_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"02/28/2018","Mali",NA,NA,NA,NA,"Upper Kai-Iwi","0000103_CV",1,"0000103_CV_1_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"02/28/2018","Mali",NA,NA,NA,NA,"Upper Kai-Iwi","0000103_CV",2,"0000103_CV_2_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"Upper Kai-Iwi","0000104_CV",1,"0000104_CV_1_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"02/28/2018","Mali",NA,NA,NA,NA,"Upper Kai-Iwi","0000105_CV",1,"0000105_CV_1_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"02/28/2018","Mali",NA,NA,NA,NA,"Upper Kai-Iwi","0000105_CV",2,"0000105_CV_2_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"02/28/2018","Mali",NA,NA,NA,NA,"Upper Kai-Iwi","0000106_CC",1,"0000106_CC_1_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"02/28/2018","Mali",NA,NA,NA,NA,"Upper Kai-Iwi","0000106_CC",2,"0000106_CC_2_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"02/28/2018","Mali",NA,NA,NA,NA,"Upper Kai-Iwi","0000107_CV",1,"0000107_CV_1_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"02/28/2018","Mali",NA,NA,NA,NA,"Upper Kai-Iwi","0000107_CV",2,"0000107_CV_2_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"Upper Kai-Iwi","0000108_CV",1,"0000108_CV_1_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"Upper Kai-Iwi","0000108_CV",2,"0000108_CV_2_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"Upper Kai-Iwi","0000109_CC",1,"0000109_CC_1_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"Upper Kai-Iwi","0000109_CC",2,"0000109_CC_2_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"10/24/2018","Mali",NA,NA,NA,NA,"NKBS","000010i_CV",1,"000010i_CV_1_15v_x30_BSE","BSE",30,"MHR.1310.BLEED.218","15.0kV","x30"
"10/24/2018","Mali",NA,NA,NA,NA,"NKBS","000010i_CV",2,"000010i_CV_2_15v_x30_BSE","BSE",30,"MHR.1310.BLEED.218","15.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"Waipuru","0000110_CC",1,"0000110_CC_1_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"Waipuru","0000110_CC",2,"0000110_CC_2_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"Waipuru","0000110_CC",3,"0000110_CC_3_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"02/23/2018","Mali",NA,NA,NA,NA,"Waipuru","0000112_CV",1,"0000112_CV_1_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"02/23/2018","Mali",NA,NA,NA,NA,"Waipuru","0000112_CV",2,"0000112_CV_2_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"02/23/2018","Mali",NA,NA,NA,NA,"Waipuru","0000113_CV",1,"0000113_CV_1_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"02/23/2018","Mali",NA,NA,NA,NA,"Waipuru","0000113_CV",2,"0000113_CV_2_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"02/23/2018","Mali",NA,NA,NA,NA,"Waipuru","0000117_CC",1,"0000117_CC_1_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"02/23/2018","Mali",NA,NA,NA,NA,"Waipuru","0000117_CC",2,"0000117_CC_2_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"02/23/2018","Mali",NA,NA,NA,NA,"Waipuru","0000118_CC",1,"0000118_CC_1_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"02/23/2018","Mali",NA,NA,NA,NA,"Waipuru","0000118_CC",2,"0000118_CC_2_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"02/26/2018","Mali",NA,NA,NA,NA,"Waipuru","0000119_CV",1,"0000119_CV_1_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
