"fileName","dateImaged","Enterer","collectionType","boxNumber","possibleSpeicesID","surface","formation","specimenNR","pictureNumber","SignalName","Magnification","Comment","Vacc","Mag","fileName.tif","path.tif"
"0000022_CV_2_15v_x30_BSE","01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000022_CV",2,"BSE",30,NA,"15.0kV","x30","0000022_CV_2_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/022_CV_2_15v_x30_BSE.tif"
"0000023_CV_1_15v_x30_BSE","01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000023_CV",1,"BSE",30,NA,"15.0kV","x30","0000023_CV_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/023_CV_1_15v_x30_BSE.tif"
"0000024_CC_1_15v_x30_BSE","01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000024_CC",1,"BSE",30,NA,"15.0kV","x30","0000024_CC_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/024_CC_1_15v_x30_BSE.tif"
"0000024_CC_2_15v_x30_BSE","01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000024_CC",2,"BSE",30,NA,"15.0kV","x30","0000024_CC_2_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/024_CC_2_15v_x30_BSE.tif"
"0000024_CC_3_15v_x30_BSE","01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000024_CC",3,"BSE",30,NA,"15.0kV","x30","0000024_CC_3_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/024_CC_3_15v_x30_BSE.tif"
"0000025_CC_1_15v_x30_BSE","01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000025_CC",1,"BSE",30,NA,"15.0kV","x30","0000025_CC_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/025_CC_1_15v_x30_BSE.tif"
"0000025_CC_2_15v_x30_BSE","01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000025_CC",2,"BSE",30,NA,"15.0kV","x30","0000025_CC_2_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/025_CC_2_15v_x30_BSE.tif"
"0000026_CV_2_15v_x30_BSE","01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000026_CV",2,"BSE",30,NA,"15.0kV","x30","0000026_CV_2_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/026_CV_2_15v_x30_BSE.tif"
"0000028_CC_1_15v_x30_BSE","01/29/2018","Mali",NA,NA,NA,NA,"NKBS","0000028_CC",1,"BSE",30,NA,"15.0kV","x30","0000028_CC_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/028_CC_1_15v_x30_BSE.tif"
"0000028_CC_2_15v_x30_BSE","01/29/2018","Mali",NA,NA,NA,NA,"NKBS","0000028_CC",2,"BSE",30,NA,"15.0kV","x30","0000028_CC_2_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/028_CC_2_15v_x30_BSE.tif"
"000002i_CV_1_15v_x30_BSE","10/10/2018","Mali",NA,NA,NA,NA,"NKBS","000002i_CV",1,"BSE",30,"MHR.1308.BLEED.819","15.0kV","x30","000002i_CV_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs2/Nukumaru Brown Sand/002i_CV_1_15v_x30_BSE.tif"
"000002i_CV_2_15v_x30_BSE","10/10/2018","Mali",NA,NA,NA,NA,"NKBS","000002i_CV",2,"BSE",30,"MHR.1308.BLEED.819","15.0kV","x30","000002i_CV_2_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs2/Nukumaru Brown Sand/002i_CV_2_15v_x30_BSE.tif"
"0000030_CC_1_15v_x30_BSE","01/29/2018","Mali",NA,NA,NA,NA,"NKBS","0000030_CC",1,"BSE",30,NA,"15.0kV","x30","0000030_CC_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/030_CC_1_15v_x30_BSE.tif"
