"boxID","image","colony.id","zooid.id","formation","zh","oh","ow.m","ow.b","mpw.b","cw.m","cw.d","o.side","c.side","ln.zh","ln.mpw.b","ln.cw.m","ln.cw.d","ln.ow.m","ln.oh","ln.o.side","ln.c.side"
"922_721_517_650","429_CC_1_10v_x30_BSE","429CC","922_721_517_650_429_CC_1_10v_x30_BSE","NKLS",922.762480058663,0.0466946874054828,504.491907637629,410.390432853,210.219624479211,512.723558031555,538.601323221696,385.937341570938,400.973077217001,6.82737186667225,5.34815281507076,6.23973682669357,6.28897563715446,6.22355179930353,-3.06412488083235,5.95567502875186,5.99389428594291
"248_748_415_753","429_CC_1_10v_x30_BSE","429CC","248_748_415_753_429_CC_1_10v_x30_BSE","NKLS",944.220327301726,0.0493294191464664,451.825909271471,367.812861258709,230.533427295834,415.376396518605,466.401561326694,335.536045237696,446.414558654133,6.85035953647791,5.44039587272842,6.02918508873617,6.14504698264366,6.11329694916138,-3.00923463865953,5.81572938801094,6.10124802400781
"141_76_443_656","429_CC_1_10v_x30_BSE","429CC","141_76_443_656_429_CC_1_10v_x30_BSE","NKLS",844.163845407663,0.0467864911623935,481.016733706687,389.722026106678,224.477036652076,454.095310423004,485.218669856328,322.194455187722,380.0199376418,6.73834660538517,5.41377341532295,6.11830711086054,6.18459965501124,6.17590205891162,-3.06216076810228,5.77515526136985,5.94022371882248
"38_1199_438_602","429_CC_2_10v_x30_BSE","429CC","38_1199_438_602_429_CC_2_10v_x30_BSE","NKLS",774.940051172516,0.046676357643669,449.938606284722,380.573275802822,262.059505361126,447.933942626525,471.430514098798,308.799990227374,350.638159624784,6.65278567303564,5.56857159767228,6.10464577204888,6.1557717192064,6.10911114297848,-3.06451750280718,5.73269378650352,5.85975480747935
"341_869_391_716","429_CC_2_10v_x30_BSE","429CC","341_869_391_716_429_CC_2_10v_x30_BSE","NKLS",1048.94696336063,0.0524168762963653,439.839405130866,353.031198988392,201.867189421484,363.205031297438,430.696230530993,375.520201007127,495.236130410035,6.95554204788137,5.30761000305622,5.89496749932237,6.06540304006215,6.08640967194891,-2.94852667278297,5.92831226737932,6.20503467995689
"490_1535_367_772","429_CC_2_10v_x30_BSE","429CC","490_1535_367_772_429_CC_2_10v_x30_BSE","NKLS",1031.05606282596,0.0563496222963914,432.45658957887,326.936796590589,191.994412685062,363.070055436733,406.155192947882,383.713834040181,475.567506844926,6.93833885967336,5.25746627100572,5.89459580582848,6.00673533520344,6.06948195041853,-2.87617974133352,5.9498970509167,6.16450884213981
"365_190_432_650","429_CC_2_10v_x30_BSE","429CC","365_190_432_650_429_CC_2_10v_x30_BSE","NKLS",892.635560674598,0.051550805058868,478.268952526482,359.819229170479,214.933597486063,455.48440547846,463.108749969338,368.990006298568,381.622837558906,6.79417839083091,5.37032913152199,6.12136148006227,6.13796190764926,6.17017323644573,-2.96518745159227,5.91076956047206,5.94443278463586
"103_519_401_708","429_CC_2_10v_x30_BSE","429CC","103_519_401_708_429_CC_2_10v_x30_BSE","NKLS",985.944252984487,0.049531329749041,467.028768913693,370.964289419696,218.046688569755,379.627626083411,452.446239317798,353.4501344704,470.229494041538,6.89359981444898,5.38470920760962,5.93919084091436,6.11466894794427,6.14639085944105,-3.0051498853965,5.86774241306787,6.15322086072644
"697_1432_476_664","430_F_1_10v_x30_BSE","430F","697_1432_476_664_430_F_1_10v_x30_BSE","NKLS",907.884740866368,0.0478857869342353,470.401239105912,385.086434231914,229.586528280067,394.123527739324,457.286302617304,351.735294687793,392.115248050545,6.81111743317222,5.4362799879856,5.97666438234115,6.12530967748702,6.15358603073467,-3.03893654230762,5.8628788889736,5.97155579670983
"728_708_448_748","430_F_1_10v_x30_BSE","430F","728_708_448_748_430_F_1_10v_x30_BSE","NKLS",930.033061858349,0.0501662033196279,417.504793753867,356.439463370316,198.26717222278,341.588144298423,443.731796936554,328.157565328826,430.782807834753,6.83522013590072,5.28961547579416,5.83360575492579,6.0952203189602,6.03429602627018,-2.99241371965757,5.79349387513768,6.06560403695284
"444_389_445_687","430_F_1_10v_x30_BSE","430F","444_389_445_687_430_F_1_10v_x30_BSE","NKLS",891.48017332553,0.0547850293368249,370.464802594728,321.989439893778,181.525652410289,356.470020344449,412.660048902615,335.860925558134,389.658496306517,6.79288319737617,5.20139697931185,5.87625014191275,6.02262412786291,5.91475844047906,-2.90433830963483,5.81669716224861,5.96527070502173
"375_1045_607_695","430_F_1_10v_x30_BSE","430F","375_1045_607_695_430_F_1_10v_x30_BSE","NKLS",899.345989624449,0.048100665692848,454.877198355759,374.881755838836,201.563451941947,466.293538190757,511.159756579591,333.687963091357,405.901642511526,6.80166782097067,5.3061042297917,6.14481534609603,6.23668217652862,6.12002748879948,-3.03445926219804,5.81020631405898,6.00611087042825
"1042_1762_459_714","430_F_1_10v_x30_BSE","430F","1042_1762_459_714_430_F_1_10v_x30_BSE","NKLS",880.429148680128,0.0469229478217247,463.049946989014,392.479182812782,190.227599064972,373.393365804615,457.667250595736,343.731426698868,381.395043886429,6.78040945755508,5.24822124507858,5.92263246395626,6.12614239298194,6.13783492513406,-3.0592484306204,5.83986061609956,5.94383569855234
"186_708_446_624","430_F_1_10v_x30_BSE","430F","186_708_446_624_430_F_1_10v_x30_BSE","NKLS",807.418171272742,0.05027581291226,443.86985099094,357.175921153686,188.567007049628,345.148887235052,418.224874511323,337.777738357631,312.021820763389,6.69384171407683,5.23945341878611,5.84397588114038,6.03601926516666,6.09553139106291,-2.99023117414017,5.82238810035966,5.74307312370811
"917_504_462_779","430_F_2_10v_x30_BSE","430F","917_504_462_779_430_F_2_10v_x30_BSE","NKLS",911.333417259675,0.0498232200185532,448.847917869773,365.059618243773,203.077596473941,356.473839782043,422.455135941905,340.824155847282,377.829769304053,6.8149088207076,5.31358815464349,5.87626085646632,6.04608325403923,6.10668411738114,-2.99927413818668,5.83136667227688,5.93444374842701
"28_1622_433_729","430_F_2_10v_x30_BSE","430F","28_1622_433_729_430_F_2_10v_x30_BSE","NKLS",909.754396711517,0.0519138692084263,442.10874236257,348.575633513598,196.619083321519,370.828466241654,422.500253855352,352.760066308595,397.50431567233,6.81317466935942,5.28126826974461,5.91573960054455,6.04619004763812,6.09155587526362,-2.95816929506028,5.86578812699081,5.98520579107276
"1012_513_464_657","430_F_3_10v_x30_BSE","430F","1012_513_464_657_430_F_3_10v_x30_BSE","NKLS",782.806351231802,0.0448368693208729,462.623401853153,399.830590752653,221.620294918738,500.329379903263,498.409936707603,294.487651058452,336.753438986472,6.66288534896857,5.40096553424792,6.21526664134172,6.21142290448879,6.13691333618137,-3.10472450210785,5.68523707032267,5.81935102752184
"413_517_457_700","430_F_3_10v_x30_BSE","430F","413_517_457_700_430_F_3_10v_x30_BSE","NKLS",828.704919438265,0.0429955802950465,509.545733741915,425.019213047926,251.481033896504,486.977647920767,511.70284134561,301.443541158371,368.843507520832,6.7198641441693,5.52736757475384,6.18821822453598,6.23774406855234,6.23351961064013,-3.14665795240732,5.70858273879236,5.91037245522564
"334_1313_447_715","430_F_3_10v_x30_BSE","430F","334_1313_447_715_430_F_3_10v_x30_BSE","NKLS",799.58115417456,0.0487549738341176,453.014629894838,366.871431953444,233.514384456847,458.68948059004,447.301267250555,313.093006939693,345.725393380651,6.68408803328216,5.4532436788811,6.12837346824672,6.1032323435458,6.11592442053514,-3.0209480593762,5.74650029317298,5.84564479919273
"653_907_444_665","430_F_3_10v_x30_BSE","430F","653_907_444_665_430_F_3_10v_x30_BSE","NKLS",785.76450129542,0.0456547096762881,464.192328403653,386.582633769399,198.143525704847,396.49657354695,474.433204067923,289.373399230594,346.25462307036,6.66665713086267,5.28899164539508,5.98266739928964,6.16212083694568,6.14029896721444,-3.08664850801218,5.66771789300868,5.84717440924017
"420_1164_426_712","431_CC_1_10v_x30_BSE","431CC","420_1164_426_712_431_CC_1_10v_x30_BSE","NKLS",903.508671746268,0.0525797864911814,420.950594617264,330.136122504003,145.448731019276,307.679451511325,374.820008941519,312.79622629053,417.456961275498,6.8062857079345,4.97982366038803,5.72905849917938,5.92644593458903,6.04251547434299,-2.94542352033563,5.74555194430979,6.03418145221183
"423_487_445_685","431_CC_1_10v_x30_BSE","431CC","423_487_445_685_431_CC_1_10v_x30_BSE","NKLS",880.266758525242,0.0472420912351454,464.989447057697,385.616413702403,180.480080025821,426.062253659613,479.800908690581,331.519501999922,394.875625241591,6.78022499622399,5.19562041171507,6.05458547094384,6.1733712442983,6.14201471083026,-3.05247002031896,5.80368663745789,5.97857084251217
"181_1841_480_672","431_CC_1_10v_x30_BSE","431CC","181_1841_480_672_431_CC_1_10v_x30_BSE","NKLS",913.638714861023,0.0469487624784536,475.376426413353,387.662362654234,179.928533122636,344.35112799887,445.999645344671,330.602921695505,426.749620523114,6.81743521416527,5.19255973384209,5.84166185771895,6.10031815682843,6.1641069668505,-3.05869843196165,5.80091802290233,6.05619747244888
"770_897_464_650","431_CC_1_10v_x30_BSE","431CC","770_897_464_650_431_CC_1_10v_x30_BSE","NKLS",846.146952824099,0.047658085467253,447.206897645732,382.841840201986,198.026677548401,465.451852417551,495.093507395358,341.642793773086,372.424795725772,6.74069304762336,5.28840175671151,6.14300865939678,6.20474664855761,6.10302134579558,-3.04370297875934,5.8337657285796,5.92003512676788
"336_1556_371_769","431_CC_1_10v_x30_BSE","431CC","336_1556_371_769_431_CC_1_10v_x30_BSE","NKLS",1024.26873783114,0.0567202936433137,402.863380263884,310.520544630299,136.246082194508,277.01646044322,362.285452146867,331.369057402703,496.821011795688,6.93173421045651,4.91446267859421,5.62407692840455,5.89243244293217,5.99859749768152,-2.86962321970337,5.80323273129925,6.20822982399963
"1012_484_468_646","431_CC_1_10v_x30_BSE","431CC","1012_484_468_646_431_CC_1_10v_x30_BSE","NKLS",815.243313487342,0.0447722051032791,487.838013387233,417.961097530494,227.818413932968,543.047219040314,555.292174711985,341.240511212163,366.961916892159,6.70348661284167,5.42854888151692,6.29719627571176,6.31949441614752,6.18998341096868,-3.10616775390425,5.83258754014089,5.90525807398401
"114_857_421_714","431_CC_1_10v_x30_BSE","431CC","114_857_421_714_431_CC_1_10v_x30_BSE","NKLS",902.822759259002,0.0526252307745703,392.909107134867,338.384433241087,140.273732919824,374.79458079173,417.755822509093,337.947425098474,415.246109399427,6.8055262542612,4.94359574876662,5.92637809132625,6.03489710516196,5.97357830556497,-2.94455960172421,5.82289033633839,6.02887137915253
