path;folder;subfolder;image;ext;fileName;specimenNR;formation
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/050i_CV_1_15v_x30.tif;Sara;NKBS;050i_CV_1_15v_x30;tif;050i_CV_1_15v_x30.tif;050iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/050i_CV_1_15v_x30.txt;Sara;NKBS;050i_CV_1_15v_x30;txt;050i_CV_1_15v_x30.txt;050iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/050i_CV_2_15v_x30.tif;Sara;NKBS;050i_CV_2_15v_x30;tif;050i_CV_2_15v_x30.tif;050iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/050i_CV_2_15v_x30.txt;Sara;NKBS;050i_CV_2_15v_x30;txt;050i_CV_2_15v_x30.txt;050iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/051i_CV_1_15v_x30.tif;Sara;NKBS;051i_CV_1_15v_x30;tif;051i_CV_1_15v_x30.tif;051iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/051i_CV_1_15v_x30.txt;Sara;NKBS;051i_CV_1_15v_x30;txt;051i_CV_1_15v_x30.txt;051iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/051i_CV_2_15v_x30.tif;Sara;NKBS;051i_CV_2_15v_x30;tif;051i_CV_2_15v_x30.tif;051iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/051i_CV_2_15v_x30.txt;Sara;NKBS;051i_CV_2_15v_x30;txt;051i_CV_2_15v_x30.txt;051iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/052i_CC_1_15v_x30.tif;Sara;NKBS;052i_CC_1_15v_x30;tif;052i_CC_1_15v_x30.tif;052iCC;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/052i_CC_1_15v_x30.txt;Sara;NKBS;052i_CC_1_15v_x30;txt;052i_CC_1_15v_x30.txt;052iCC;NKBS
