DATE;SPECIMEN NR;NR OF PICS;AV;MAGNIFICATION;FORMATION;COMMENTS 
03/08/2018;723CC;3;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
03/08/2018;724CC;2;5v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
03/08/2018;725CC;2;5v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
03/08/2018;726CC;2;5v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
03/08/2018;727CC;2;5v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
03/08/2018;728CC;2;5v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
03/08/2018;731CC;2;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
03/09/2018;733CV;2;5v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
03/09/2018;734CV;2;5v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
03/09/2018;1012CV;2;5v;x30;UPPER KAI-IWI SB;
03/09/2018;001iCC;2;5v;x30;NKBS;
03/12/2018;735CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
03/12/2018;736CV;3;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
03/12/2018;737CC;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
03/12/2018;738CV;3;15v;1 & 2 (x30), 3 (x35);SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
03/12/2018;739CV;3;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
03/12/2018;740CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
03/12/2018;454CV;2;15v;x30;NKLS;
03/12/2018;456CV;2;15v;x30;NKLS;
03/12/2018;457CC;2;15v;x30;NKLS;
03/12/2018;458CV;2;15v;x30;NKLS;
03/12/2018;459CC;2;15v;x30;NKLS;
03/12/2018;461CC;2;15v;x30;NKLS;
3/13/18;462CV;2;15v;x30;NKLS;
3/13/18;463CC;2;15v;x30;NKLS;
3/13/18;415CC;2;15v;x30;NKLS;
3/13/18;464CC;3;15v;x30;NKLS;
3/13/18;465CV;2;15v;x30;NKLS;
3/13/18;1110CV;3;15v;x30;WAIPURU SB;
3/13/18;1111CV;2;15v;x30;WAIPURU SB;
3/13/18;1112CV;2;15v;x30;WAIPURU SB;
3/13/18;741CV;2;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
3/14/18;742CV;2;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
3/14/18;743CC;3;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
3/14/18;744CV;2;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
3/14/18;745CV;2;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
3/14/18;746CV;2;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
3/26/18;467CC;2;10v;x30;NKLS;
3/26/18;468CV;2;10v;X30;NKLS;
3/26/18;469CV;2;10v;x30;NKLS;
3/26/18;470CV;2;10v;x30;NKLS;
3/26/18;471CV;3;10v;x30;NKLS;
3/26/18;472CC;3;10v;x30;NKLS;
3/26/18;475CC;2;10v;x30;NKLS;
3/26/18;466CV;3;10v;x30;NKLS;
3/26/18;476CV;3;10v;x30;NKLS;
3/26/18;477CV;2;10v;x30;NKLS;
3/26/18;479CC;3;10v;x30;NKLS;
3/26/18;481CC;2;10v;x30;NKLS;
04/05/2018;747F;2;5v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
04/10/2018;732F;3;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
04/10/2018;748CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
04/10/2018;749CC;3;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
04/10/2018;750CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
04/10/2018;751CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
04/10/2018;752CC;3;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
04/10/2018;753CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
