date;specimen nr.;nr of pics;AV;magnification;formation;Comments
28/02/2018;095CC;2;10v;x30;NKBS;
28/02/2018;079CV;2;10v;x30;NKBS;
28/02/2018;286CV;3;10v;x30;NKBS;
28/02/2018;259CV;2;10v;x30;NKBS;
28/02/2018;245CV;2;10v;x30;NKBS;
01/03/2018;246CV;3;10v;x30;NKBS;
01/03/2018;247CC;3;10v;x30;NKBS;
01/03/2018;270CV;2;10v;x30;NKBS;
01/03/2018;271CC;2;10v;x30;NKBS;
01/03/2018;278CV;3;10v;x30;NKBS;
01/03/2018;279CC;3;10v;x30;NKBS;
01/03/2018;276CV;2;10v;x30;NKBS;
01/03/2018;277CC;2;10v;x30;NKBS;
01/03/2018;290CV;2;10v;x30;NKBS;
01/03/2018;288CV;2;10v;x30;NKBS;
01/03/2018;289CC;2;10v;x30;NKBS;
01/03/2018;283CV;2;10v;x30;NKBS;
01/03/2018;283CC;2;10v;x30;NKBS;
01/03/2018;248CV;2;10v;x30;NKBS;
02/03/2018;262CV;2;10v;x30;NKBS;
02/03/2018;244CV;2;10v;x30;NKBS;
02/03/2018;257CV;2;10v;x30;NKBS;
02/03/2018;287CV;2;10v;x30;NKBS;
02/03/2018;254CV;3;10v;x30;NKBS;
02/03/2018;255CC;2;10v;x30;NKBS;
02/03/2018;437CV;3;10v;x30;NKLS;
02/03/2018;440CV;2;10v;x30;NKLS;
02/03/2018;439CV;3;10v;x30;NKLS;
02/03/2018;441CV;2;10v;x30;NKLS;
02/03/2018;426CV;2;10v;x30;NKLS;
02/03/2018;442CV;2;10v;x30;NKLS;
05/03/2018;443CV;2;10v;x30;NKLS;
05/03/2018;444CC;2;10v;x30;NKLS;
05/03/2018;445CV;2;10v;x30;NKLS;
05/03/2018;447CV;2;10v;x30;NKLS;
05/03/2018;448CV;3;10v;x30;NKLS;
05/03/2018;449F;2;10v;x30;NKLS;
05/03/2018;450CV;2;10v;x30;NKLS;
05/03/2018;451CV;2;10v;x30;NKLS;
05/03/2018;452CC;2;10v;x30;NKLS;
05/03/2018;453CC;3;10v;x30;NKLS;
05/03/2018;618CV;3;10v;x30;TEWKESBURY;
05/03/2018;619CV;2;10v;x30;TEWKESBURY;
05/03/2018;620CV;2;10v;x30;TEWKESBURY;
05/03/2018;621CC;2;10v;x30;TEWKESBURY;
06/03/2018;622CV;2;10v;x30;TEWKESBURY;
06/03/2018;623CC;2;10v;x30;TEWKESBURY;
