"folder","formation","image","ext","imageName","specimenNR","number","colonyCurve","pictureNumber","AV","magnification","backscatter"
"Sara","NKBS","057i_CV_1_15v_x30.tif","tif","057i_CV_1_15v_x30_NKBS","057iCV","057i","CV","1","15v","x30",NA
"Sara","NKBS","057i_CV_1_15v_x30.txt","txt","057i_CV_1_15v_x30_NKBS","057iCV","057i","CV","1","15v","x30",NA
"Sara","NKBS","057i_CV_2_15v_x30.tif","tif","057i_CV_2_15v_x30_NKBS","057iCV","057i","CV","2","15v","x30",NA
"Sara","NKBS","057i_CV_2_15v_x30.txt","txt","057i_CV_2_15v_x30_NKBS","057iCV","057i","CV","2","15v","x30",NA
"Sara","NKBS","058i_CV_1_15v_x30.tif","tif","058i_CV_1_15v_x30_NKBS","058iCV","058i","CV","1","15v","x30",NA
"Sara","NKBS","058i_CV_1_15v_x30.txt","txt","058i_CV_1_15v_x30_NKBS","058iCV","058i","CV","1","15v","x30",NA
"Sara","NKBS","058i_CV_2_15v_x30.tif","tif","058i_CV_2_15v_x30_NKBS","058iCV","058i","CV","2","15v","x30",NA
"Sara","NKBS","058i_CV_2_15v_x30.txt","txt","058i_CV_2_15v_x30_NKBS","058iCV","058i","CV","2","15v","x30",NA
"Sara","NKBS","059i_CC_1_15v_x30.tif","tif","059i_CC_1_15v_x30_NKBS","059iCC","059i","CC","1","15v","x30",NA
"Sara","NKBS","059i_CC_1_15v_x30.txt","txt","059i_CC_1_15v_x30_NKBS","059iCC","059i","CC","1","15v","x30",NA
"Sara","NKBS","059i_CV_1_15v_x30.tif","tif","059i_CV_1_15v_x30_NKBS","059iCV","059i","CV","1","15v","x30",NA
"Sara","NKBS","059i_CV_1_15v_x30.txt","txt","059i_CV_1_15v_x30_NKBS","059iCV","059i","CV","1","15v","x30",NA
"Sara","NKLS","530_CV_1_15V_x30_BSE.tif","tif","530_CV_1_15V_x30_BSE_NKLS","530CV","530","CV","1","15V","x30","BSE"
"Sara","NKLS","530_CV_1_15V_x30_BSE.txt","txt","530_CV_1_15V_x30_BSE_NKLS","530CV","530","CV","1","15V","x30","BSE"
"Sara","NKLS","530_CV_2_15V_x30_BSE.tif","tif","530_CV_2_15V_x30_BSE_NKLS","530CV","530","CV","2","15V","x30","BSE"
"Sara","NKLS","530_CV_2_15V_x30_BSE.txt","txt","530_CV_2_15V_x30_BSE_NKLS","530CV","530","CV","2","15V","x30","BSE"
"Sara","NKLS","531_CV_1_15V_x30_BSE.tif","tif","531_CV_1_15V_x30_BSE_NKLS","531CV","531","CV","1","15V","x30","BSE"
"Sara","NKLS","531_CV_1_15V_x30_BSE.txt","txt","531_CV_1_15V_x30_BSE_NKLS","531CV","531","CV","1","15V","x30","BSE"
"Sara","NKLS","531_CV_2_15V_x30_BSE.tif","tif","531_CV_2_15V_x30_BSE_NKLS","531CV","531","CV","2","15V","x30","BSE"
"Sara","NKLS","531_CV_2_15V_x30_BSE.txt","txt","531_CV_2_15V_x30_BSE_NKLS","531CV","531","CV","2","15V","x30","BSE"
"Sara","NKLS","532_CC_1_15V_x30_BSE.tif","tif","532_CC_1_15V_x30_BSE_NKLS","532CC","532","CC","1","15V","x30","BSE"
"Sara","NKLS","532_CC_1_15V_x30_BSE.txt","txt","532_CC_1_15V_x30_BSE_NKLS","532CC","532","CC","1","15V","x30","BSE"
"Sara","NKLS","532_CC_2_15V_x30_BSE.tif","tif","532_CC_2_15V_x30_BSE_NKLS","532CC","532","CC","2","15V","x30","BSE"
"Sara","NKLS","532_CC_2_15V_x30_BSE.txt","txt","532_CC_2_15V_x30_BSE_NKLS","532CC","532","CC","2","15V","x30","BSE"
"Sara","NKLS","533_CC_1_15V_x30_BSE.tif","tif","533_CC_1_15V_x30_BSE_NKLS","533CC","533","CC","1","15V","x30","BSE"
"Sara","NKLS","533_CC_1_15V_x30_BSE.txt","txt","533_CC_1_15V_x30_BSE_NKLS","533CC","533","CC","1","15V","x30","BSE"
"Sara","NKLS","533_CC_2_15V_x30_BSE.tif","tif","533_CC_2_15V_x30_BSE_NKLS","533CC","533","CC","2","15V","x30","BSE"
"Sara","NKLS","533_CC_2_15V_x30_BSE.txt","txt","533_CC_2_15V_x30_BSE_NKLS","533CC","533","CC","2","15V","x30","BSE"
